id;normalizaed_name;name;kcal
251;CABALLA;Caballa ;153
252;CALAMAR;Calamar ;82
253;CANGREJO;Cangrejo ;85
254;CAVIAR;Caviar ;233
255;CONGRIO;Congrio ;112
256;DORADA;Dorada ;80
257;GALLO;Gallo ;73
258;GAMBAS;Gambas ;96
259;KANI-KAMA;Kani-Kama ;80
260;LANGOSTA;Langosta ;67
261;LANGOSTINO;Langostino ;96
262;LENGUADO;Lenguado ;73
263;LUBINA;Lubina ;118
264;LUCIO;Lucio ;81
265;MEJILLON;Mejillón ;74
266;MERLUZA;Merluza ;86
267;MERO;Mero ;118
268;OSTRAS;Ostras ;80
269;PEJERREY;Pejerrey ;87
270;PEZESPADA;Pez espada ;109
271;PULPO;Pulpo ;57
272;RODABALLO;Rodaballo ;81
273;SALMON;Salmón ;172
274;SALMONAHUMADO;Salmón ahumado ;154
275;SALMONETE;Salmonete ;97
276;SARDINAENLATACONACEITEVEGETAL;Sardina en lata con aceite vegetal ;192
277;SARDINAS;Sardinas ;151
278;TRUCHA;Trucha ;94
279;AGUAARDIENTE;Agua ardiente ;280
280;AGUATONICA;Agua tónica ;34
281;ANIS;Anís ;312
282;BATIDOLACTEODECACAO;Batido lácteo de cacao ;100
283;CACAOENPOLVOSINAZUCARALATAZA;Cacao en polvo sin azúcar a la taza ;439
284;CAFE;Café ;1
285;CERVEZANEGRA;Cerveza negra ;37
286;CERVEZARUBIA;Cerveza rubia ;45
287;CHAMPAÑADEMI-SEC;Champaña demi-sec ;90
288;CHAMPAÑADULCE;Champaña dulce ;118
289;CHAMPAÑASECA;Champaña seca ;85
290;COÑAC,BRANDY;Coñac, brandy ;243
291;CREMADECACAO;Crema de cacao ;260
292;DAIQUIRI;Daiquiri ;122
293;GIN&TONICA;Gin & Tónica ;76
294;GINEBRA;Ginebra ;244
295;LECHEDEALMENDRAS;Leche de almendras ;335
296;LICORDECAÑA;Licor de caña ;273
297;PIÑACOLADA;Piña colada ;194
298;PISCO;Pisco ;210
299;REFRESCOSCARBONATADOS;Refrescos carbonatados ;48
300;RON;Ron ;244
