id;normalizaed_name;name;kcal
101;TRUFA;Trufa ;92
102;ZANAHORIA;Zanahoria ;42
103;ZUMODETOMATE;Zumo de tomate ;21
104;ARANDANOS;Arándanos ;41
105;CAQUI;Caqui ;64
106;CEREZA;Cereza ;47
107;CHIRIMOYA;Chirimoya ;78
108;CIRUELA;Ciruela ;44
109;CIRUELASECA;Ciruela seca ;290
110;COCO;Coco ;646
111;DAMASCO;Damasco ;44
112;DATIL;Dátil ;279
113;DATILSECO;Dátil seco ;306
114;DURAZNO;Durazno ;52
115;DURAZNOENALMIBAR;Durazno en almíbar ;84
116;FRAMBUESA;Frambuesa ;40
117;FRESAS;Fresas ;36
118;GRANADA;Granada ;65
119;GROSELLA;Grosella ;37
120;HIGOS;Higos ;80
121;HIGOSSECOS;Higos secos ;275
122;KIWI;Kiwi ;51
123;LIMON;Limón ;39
124;MANDARINA;Mandarina ;40
125;MANGO;Mango ;57
126;MANZANA;Manzana ;52
127;MELON;Melón ;31
128;MORA;Mora ;37
129;NARANJA;Naranja ;44
130;NECTARINA;Nectarina ;64
131;NISPEROS;Nísperos ;97
132;PALTA;Palta ;167
133;PAPAYA;Papaya ;45
134;PERA;Pera ;61
135;PIÑA;Piña ;51
136;PIÑAENALMIBAR;Piña en almíbar ;84
137;PLATANO;Plátano ;90
138;POMELO;Pomelo ;30
139;SANDIA;Sandía ;30
140;UVA;Uva ;81
141;UVAPASA;Uva pasa ;324
142;ZUMODEFRUTA;Zumo de fruta ;45
143;ZUMODENARANJA;Zumo de Naranja ;42
144;ALMENDRAS;Almendras ;620
145;AVELLANAS;Avellanas ;675
146;CASTAÑAS;Castañas ;199
147;MANI;Maní ;560
148;NUECES;Nueces ;660
149;PIÑONES;Piñones ;660
150;PISTACHO;Pistacho ;581
