id;normalizaed_name;name;kcal
201;CONEJO,LIEBRE;Conejo, liebre;162
202;CORDEROLECHON;Cordero lechón;105
203;CORDEROPIERNA;Cordero pierna;98
204;CORDERO,COSTILLAS;Cordero, costillas;215
205;CORDERO,HIGADO;Cordero, hígado;132
206;FAISAN;Faisán;144
207;FOIE-GRAS;Foie-Gras;518
208;GALLINA;Gallina;369
209;HAMBURGUESA;Hamburguesa;230
210;JABALI;Jabalí;107
211;JAMON;Jamón;380
212;JAMONCOCIDO;Jamón cocido;126
213;JAMONCRUDO;Jamón crudo;296
214;JAMONYORK;Jamón York;289
215;LENGUADEVACA;Lengua de vaca;191
216;LOMOEMBUCHADO;Lomo embuchado;380
217;MORTADELA;Mortadela;265
218;PATO;Pato;200
219;PAVO,MUSLO;Pavo, Muslo;186
220;PAVO,PECHUGA;Pavo, Pechuga;134
221;PERDIZ;Perdiz;120
222;PIESDECERDO;Pies de cerdo;290
223;POLLO,HIGADO;Pollo, Hígado;129
224;POLLO,MUSLO;Pollo, Muslo;186
225;POLLO,PECHUGA;Pollo, Pechuga;134
226;SALAMIN;Salamín;325
227;SALCHICHAFRANKFURT;Salchicha Frankfurt;315
228;SALCHICHON;Salchichón;294
229;TERNERA,BISTEC;Ternera, bistec;181
230;TERNERA,CHULETA;Ternera, chuleta;168
231;TERNERA,HIGADO;Ternera, hígado;140
232;TERNERA,LENGUA;Ternera, lengua;207
233;TERNERA,RIÑON;Ternera, riñón;86
234;TERNERA,SESOS;Ternera, sesos;125
235;TERNERA,SOLOMILLO;Ternera, solomillo;290
236;TIRADEASADO;Tira de asado;401
237;TRIPAS;Tripas;100
238;VACUNO,HIGADO;Vacuno, Hígado;129
239;ALMEJAS;Almejas;50
240;ANCHOAS;Anchoas;175
241;ANGUILAS;Anguilas;200
242;ARENQUEAHUMADO;Arenque ahumado;209
243;ARENQUESECO;Arenque seco;122
244;ATUNENLATACONACEITEVEGETAL;Atún en lata con aceite vegetal;280
245;ATUNENLATACONAGUA;Atún en lata con agua;127
246;ATUNFRESCO;Atún fresco;225
247;BACALAOFRESCO;Bacalao fresco;74
248;BACALAOSALADOREMOJADO;Bacalao salado remojado;108
249;BACALAOSECO;Bacalao seco;322
250;BESUGO;Besugo;118
