id;normalizaed_name;name;kcal
151;CUAJADA;Cuajada ;92
152;FLANDEHUEVO;Flan de huevo ;126
153;FLANDEVAINILLA;Flan de vainilla ;102
154;HELADOSLACTEOS;Helados lácteos ;167
155;LECHECONDENSADAC/AZUCAR;Leche condensada c/azúcar ;350
156;LECHECONDENSADAS/AZUCAR;Leche condensada s/azúcar ;160
157;LECHEDECABRA;Leche de cabra ;72
158;LECHEDEOVEJA;Leche de oveja ;96
159;LECHEDESCREMADA;Leche descremada ;36
160;LECHEENPOLVODESCREMADA;Leche en polvo descremada ;373
161;LECHEENPOLVOENTERA;Leche en polvo entera ;500
162;LECHEENTERA;Leche entera ;68
163;LECHESEMIDESCREMADA;Leche semi descremada ;49
164;MOUSSE;Mousse ;177
165;NATAOCREMADELECHE;Nata o crema de leche ;298
166;QUESOBLANCODESNATADO;Queso blanco desnatado ;70
167;QUESOBRIE;Queso Brie ;263
168;QUESOCAMMEMBERT;Queso cammembert ;312
169;QUESOCHEDDAR;Queso cheddar ;381
170;QUESOCREMA;Queso crema ;245
171;QUESODEBOLA;Queso de bola ;349
172;QUESODEBURGOS;Queso de Burgos ;174
173;QUESODEOVEJA;Queso de oveja ;245
174;QUESOEDAM;Queso edam ;306
175;QUESOEMMENTAL;Queso emmental ;415
176;QUESOFUNDIDOUNTABLE;Queso fundido untable ;285
177;QUESOGRUYERE;Queso gruyere ;391
178;QUESOMANCHEGO;Queso manchego ;376
179;QUESOMOZZARELLA;Queso mozzarella ;245
180;QUESOPARMESANO;Queso parmesano ;393
181;QUESORICOTA;Queso ricota ;400
182;QUESOROQUEFORT;Queso roquefort ;405
183;REQUESON;Requesón ;96
184;YOGURDESNATADO;Yogur desnatado ;45
185;YOGURDESNATADOCONFRUTAS;Yogur desnatado con frutas ;82
186;YOGURENRIQUECIDOCONNATA;Yogur enriquecido con nata ;65
187;YOGURNATURAL;Yogur natural ;62
188;YOGURNATURALCONFRUTA;Yogur natural con fruta ;100
189;BACON(PANCETAAHUMADA);Bacon (Panceta ahumada) ;665
190;BUTIFARRACOCIDA;Butifarra cocida ;390
191;BUTIFARRA,SALCHICHAFRESCA;Butifarra, salchicha fresca ;326
192;CABRITO;Cabrito ;127
193;CERDO,CHULETA;Cerdo, chuleta ;330
194;CERDO,HIGADO;Cerdo, hígado ;153
195;CERDO,LOMO;Cerdo, lomo ;208
196;CHARQUI;Charqui ;110
197;CHICHARRON;Chicharrón ;601
198;CHORIZO;Chorizo ;468
199;CIERVO;Ciervo ;120
200;CODORNIZYPERDIZ;Codorniz y perdiz ;114
