id;normalizaed_name;name;kcal
51;HELADOSDEAGUA;Helados de agua ;139
52;MERMELADASCONAZUCAR;Mermeladas con azúcar ;280
53;MERMELADASSINAZUCAR;Mermeladas sin azúcar ;145
54;MIEL;Miel ;300
55;ACEITUNASNEGRAS;Aceitunas negras ;349
56;ACEITUNASVERDES;Aceitunas verdes ;132
57;ACELGAS;Acelgas ;33
58;AJOS;Ajos ;169
59;ALCACHOFAS;Alcachofas ;64
60;APIO;Apio ;20
61;ARVEJAS;Arvejas ;78
62;ARVEJASCONGELADAS;Arvejas congeladas ;71
63;BERENJENA;Berenjena ;29
64;BERROS;Berros ;21
65;BROCOLI;Brócoli ;31
66;CALABACIN;Calabacín ;31
67;CALABAZA;Calabaza ;24
68;CEBOLLA;Cebolla ;47
69;CEBOLLATIERNA;Cebolla tierna ;39
70;CHAMPIÑONYOTRASCETAS;Champiñón y otras cetas ;28
71;CHOCLO;Choclo ;96
72;COCHAYUYO;Cochayuyo ;50
73;COL;Col ;28
74;COLDEBRUSELAS;Col de Bruselas ;54
75;COLIFLOR;Coliflor ;30
76;ENDIBIA;Endibia ;22
77;ESCAROLA;Escarola ;37
78;ESPARRAGOS;Espárragos ;26
79;ESPARRAGOSENLATA;Espárragos en lata ;24
80;ESPINACA;Espinaca ;32
81;ESPINACASCONGELADAS;Espinacas congeladas ;25
82;HABASTIERNAS;Habas tiernas ;64
83;HINOJO;Hinojo ;16
84;LECHUGA;Lechuga ;18
85;MAIZDULCEENCONSERVA;Maíz dulce en conserva ;50
86;NABOS;Nabos ;29
87;PAPASCOCIDAS;Papas cocidas ;86
88;PEPINO;Pepino ;12
89;PEREJIL;Perejil ;55
90;PIMIENTO;Pimiento ;22
91;POROTOSVERDES;Porotos verdes ;21
92;PUERROS;Puerros ;42
93;PUREDEPAPAS;Puré de papas ;357
94;RABANOS;Rábanos ;20
95;REMOLACHA;Remolacha ;40
96;REPOLLO;Repollo ;19
97;RUCULA;Rúcula ;37
98;SOJA,BROTESDE;Soja, Brotes de ;50
99;TOMATETRITURADOENCONSERVA;Tomate triturado en conserva ;39
100;TOMATES;Tomates ;22
