id;normalizaed_name;name;kcal
351;MANZANAASADA;Manzana asada ;157
352;MOTECONHUESILLOS;Mote con huesillos ;221
353;ÑOQUISDEPAPA;Ñoquis de papa ;246
354;PANQUEQUECONMANJAR;Panqueque con manjar ;219
355;PESCADOAPANADO;Pescado apanado ;178
356;PIEDELIMON;Pie de limón ;298
357;PIZZA;Pizza ;234
358;POLLOAPANADO;Pollo apanado ;283
359;RAVIOLESDECARNEYJAMON;Ravioles de carne y jamón ;253
360;ROLLOSPRIMAVERA;Rollos primavera ;258
361;SEMOLACONLECHE;Sémola con leche ;130
362;SOPAIPILLASPASADAS;Sopaipillas pasadas ;190
363;SOPASDESOBRE;Sopas de sobre ;49
364;TORTAMILHOJAS;Torta mil hojas ;379
365;TORTILLADEPAPA;Tortilla de papa ;194
366;TUTTIFRUTI;Tutti fruti ;185
